Station,Coord X,Coord Y,Altitude
ABOR1,2521077.0,1151629.0,504.6
ABOT1,2519862.0,1155534.0,666.0
ABOT2,2519923.0,1154643.0,663.9
ABOT3,2521123.0,1151684.0,515.2
ABOR2,2524102.0,1149509.0,412.9
ABOT4,2521123.0,1151684.0,515.4
PT15,2519857.0,1153198.0,592.9
AIG,2560404.0,1130712.9999999984,381.0
BIE,2515887.0,1153209.9999999953,683.0
BOU,2555264.0,1138175.0000000033,374.0
FRE,2534225.0,1188080.9999999998,1205.0
GVE,2498904.0,1122630.9999999977,410.0
DOL,2497060.0,1142371.0000000002,1669.0
CHB,2513821.0,1169386.9999999988,1045.0
MAH,2533458.0,1176566.9999999981,435.0
CGI,2506878.0,1139571.9999999986,458.0
ORO,2555505.0,1158051.9999999993,828.0
PAY,2562131.0,1184611.0000000028,490.0
PUY,2540819.0,1151510.0000000026,455.0
VEV,2552106.0,1146846.9999999949,405.0
VIT,2544198.0,1163650.0000000016,859.0
