Cell,Latitude,Longitude
1,2656959,1259353.0
2,2733557,1118162.0
3,2629128,1140919.0
4,2734998,1182035.0
5,2623616,1200426.0
6,2646057,1267480.0
7,2698640,1223035.0
8,2757758,1234597.0
9,2486603,1112335.0
10,2662835,1252577.0
11,2588218,1219018.0
12,2685505,1196051.0
13,2673557,1202860.0
14,2693500,1272506.0
15,2627189,1267845.0
16,2649942,1177374.0
17,2600725,1197996.0
18,2687416,1277146.0
19,2700726,1218127.0
20,2667045,1269233.0
21,2665650,1258684.0
22,2580675,1211650.0
23,2688267,1206169.0
24,2749036,1244216.0
25,2608693,1148291.0
26,2593742,1118631.0
27,2786224,1183370.0
28,2557649,1133284.0
29,2669857,1154077.0
30,2613571,1263084.0
31,2765384,1204914.0
32,2629581,1219138.0
33,2593339,1193042.0
34,2830800,1168706.0
35,2713644,1113501.0
36,2630725,1207272.0
37,2634026,1125901.0
38,2545448,1180869.0
39,2520722,1147409.0
40,2714098,1261728.0
41,2697228,1223278.0
42,2795792,1165907.0
43,2659967,1263103.0
44,2708048,1123956.0
45,2725173,1221385.0
46,2572555,1244458.0
47,2579823,1227344.0
48,2727103,1247295.0
49,2709581,1092143.0
50,2753134,1261531.0
51,2663698,1213656.0
52,2665335,1211792.0
53,2613235,1179279.0
54,2802113,1142012.0
55,2633140,1168191.0
56,2689140,1281987.0
57,2718825,1248448.0
58,2700750,1218230.0
59,2602996,1202474.0
60,2767194,1257809.0
61,2733558,1263185.0
62,2723985,1217967.0
63,2532024,1154166.0
64,2659142,1271836.0
65,2788796,1151692.0
66,2709540,1269680.0
67,2501212,1115123.0
68,2633731,1171508.0
69,2766305,1250371.0
71,2585105,1199193.0
72,2510069,1140084.0
73,2567845,1261215.0
74,2690083,1193233.0
75,2678046,1269716.0
76,2499890,1117850.0
77,2611732,1272316.0
78,2604814,1192679.0
79,2658557,1218252.0
80,2561671,1187319.0
81,2643694,1137291.0
